id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__e9bdb3,e9bdb3,myakawallet.com,,Phishing,Wallet,
Csdb__ScamDomains__4440c2,4440c2,musicoinwallet.com,,Phishing,Wallet,
Csdb__ScamDomains__831b9f,831b9f,expwallet.net,,Phishing,Wallet,
Csdb__ScamDomains__dbefdf,dbefdf,dbix.link,,Phishing,Wallet,
Csdb__ScamDomains__e2baf8,e2baf8,myubiqwallet.com,,Phishing,Wallet,
Csdb__ScamDomains__9a6d48,9a6d48,clowallet.network,,Phishing,Wallet,
Csdb__ScamDomains__1ed927,1ed927,xn--stelar-6db.org,,Phishing,Stellar,
Csdb__ScamDomains__41fc78,41fc78,xn--stllar-cpc.com,,Phishing,Stellar,
Csdb__ScamDomains__efeae0,efeae0,xn--stllar-q3a.com,,Phishing,Stellar,
Csdb__ScamDomains__b4e242,b4e242,blogstellar.org,,Phishing,Stellar,
Csdb__ScamDomains__731e62,731e62,xn--accountvewer-stellar-pbd.com,,Phishing,Stellar,
Csdb__ScamDomains__56bf18,56bf18,0101.systems,,Phishing,Electrum,
Csdb__ScamDomains__63825d,63825d,myrthervvellanti.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__a1e1e9,a1e1e9,guadra.com,,Phishing,Guarda,
Csdb__ScamDomains__0d7657,0d7657,giveaway-bit.xyz,,Phishing,Giveaway,
Csdb__ScamDomains__5ff078,5ff078,crypto-trust.co,,Scamming,Ponzi,
Csdb__ScamDomains__563f45,563f45,wintesla.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__e877b3,e877b3,coinxback.com,,Malware,Extension,
Csdb__ScamDomains__7ac5e7,7ac5e7,dexapis.xyz,,Phishing,Binance,
Csdb__ScamDomains__0a7ad6,0a7ad6,arbitragecrypto.org,,Scamming,Exchange,
Csdb__ScamDomains__20fc36,20fc36,elonevent.site,,Scamming,Trust-Trading,
Csdb__ScamDomains__52b4ed,52b4ed,mewapp.ltd,,Phishing,MyEtherWallet,
Csdb__ScamDomains__d03ec6,d03ec6,lumiwalletapp.com,,Phishing,Lumi,
Csdb__ScamDomains__8047fd,8047fd,metamask.ltd,,Phishing,MetaMask,
Csdb__ScamDomains__fb5122,fb5122,samoraiwalletapp.com,,Phishing,Samorai,
Csdb__ScamDomains__6bea00,6bea00,bitpieapp.com,,Phishing,Bitpie,
Csdb__ScamDomains__09eaa2,09eaa2,paytomatwallet.com,,Phishing,Paytomat,
Csdb__ScamDomains__885d24,885d24,pumapayapp.com,,Phishing,PumaPay,
Csdb__ScamDomains__d75761,d75761,blockchainapp.ltd,,Phishing,Blockchain,
Csdb__ScamDomains__e9a296,e9a296,jaxx.ltd,,Phishing,Jaxx,
Csdb__ScamDomains__538568,538568,greenapp.ltd,,Phishing,GreenWallet,
Csdb__ScamDomains__c3434c,c3434c,exodusapp.ltd,,Phishing,Exodus,
Csdb__ScamDomains__32e63b,32e63b,coboapp.ltd,,Phishing,Cobo,
Csdb__ScamDomains__e742ba,e742ba,atomicapp.ltd,,Phishing,Atomic,
Csdb__ScamDomains__1f74cc,1f74cc,ripplewalletapps.com,,Phishing,Ripple,
Csdb__ScamDomains__e755ed,e755ed,trezorapp.com,,Phishing,Trezor,
Csdb__ScamDomains__8eef3c,8eef3c,compoundnode.dev,,Phishing,Compound,
Csdb__ScamDomains__84f0db,84f0db,bavbit.com,,Phishing,Exchange,
Csdb__ScamDomains__981f6d,981f6d,tesla-bonus.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__d6d383,d6d383,trez0r.com,,Phishing,Trezor,
Csdb__ScamDomains__5a8839,5a8839,activdarto.com,,Phishing,Trust,
Csdb__ScamDomains__890453,890453,bit-airdrop.club,,Scamming,Trust-Trading,
Csdb__ScamDomains__ffa2ac,ffa2ac,notall.eshost.com.ar,,Phishing,General,
Csdb__ScamDomains__0c0164,0c0164,notallwallet.ml,,Phishing,General,
Csdb__ScamDomains__83f7ff,83f7ff,avaxweb.typeform.com,,Scamming,Ava,
Csdb__ScamDomains__0ac57d,0ac57d,elonx.co,,Scamming,Trust-Trading,
Csdb__ScamDomains__37d299,37d299,muskspacex.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__8badc2,8badc2,pool.balancer.dev,,Phishing,Balancer,
Csdb__ScamDomains__6279a1,6279a1,stock-index.space,,Scamming,Exchange,
Csdb__ScamDomains__42bcd1,42bcd1,finmaxbo.com,,Scamming,Exchange,
Csdb__ScamDomains__ead9ee,ead9ee,tesla-give.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__f2ca7a,f2ca7a,tesla-cryptos.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__905dfd,905dfd,crypto-event.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__cf4a48,cf4a48,geminilive.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__3969a7,3969a7,proether-fundsrelease-participate.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__10cdd1,10cdd1,geminibtc.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__f902d1,f902d1,gemini-btc.io,,Scamming,Trust-Trading,
Csdb__ScamDomains__13e3bf,13e3bf,eth-info.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__0cb40e,0cb40e,ethdropx.info,,Scamming,Trust-Trading,
Csdb__ScamDomains__538f0b,538f0b,bezos-amazon.top,,Scamming,Trust-Trading,
Csdb__ScamDomains__2356f1,2356f1,gemini-btc.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__af771c,af771c,xrp.bio,,Scamming,Trust-Trading,
Csdb__ScamDomains__8bffe9,8bffe9,mrbeastbtc.info,,Scamming,Trust-Trading,
Csdb__ScamDomains__f05565,f05565,ethereumnews.pw,,Scamming,Trust-Trading,
Csdb__ScamDomains__822aa6,822aa6,jack-btc.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__a6f6b5,a6f6b5,cryptotabhack.com,,Scamming,Generator,
Csdb__ScamDomains__687297,687297,freebitgenerator.com,,Scamming,Generator,
Csdb__ScamDomains__ed0c72,ed0c72,tron-project.com,,Malware,Giveaway,
Csdb__ScamDomains__cada64,cada64,wwwguarda.co,,Phishing,Guarda,
Csdb__ScamDomains__80c70e,80c70e,wwwthetatoken.org,,Phishing,Theta,
Csdb__ScamDomains__374878,374878,hetatoken.org,,Phishing,Theta,
Csdb__ScamDomains__7fb3a4,7fb3a4,thetatoken.cn,,Phishing,Theta,
Csdb__ScamDomains__4efda1,4efda1,tetatoken.org,,Phishing,Theta,
Csdb__ScamDomains__0de84d,0de84d,trustapp.ltd,,Phishing,Trust,
Csdb__ScamDomains__bdfba1,bdfba1,luiwallet.com,,Phishing,Lumi,
Csdb__ScamDomains__40c5f6,40c5f6,lumiwalet.com,,Phishing,Lumi,
Csdb__ScamDomains__d09774,d09774,umiwallet.com,,Phishing,Lumi,
Csdb__ScamDomains__fc4210,fc4210,lumiwallt.com,,Phishing,Lumi,
Csdb__ScamDomains__87f03e,87f03e,lumiwallet.net,,Phishing,Lumi,
Csdb__ScamDomains__09ab7d,09ab7d,lumwallet.com,,Phishing,Lumi,
Csdb__ScamDomains__2c7958,2c7958,wwwlumiwallet.com,,Phishing,Lumi,
Csdb__ScamDomains__f9ae90,f9ae90,lumiwllet.com,,Phishing,Lumi,
Csdb__ScamDomains__77d142,77d142,thetaoken.org,,Phishing,Theta,
Csdb__ScamDomains__8f8e14,8f8e14,thetatken.org,,Phishing,Theta,
Csdb__ScamDomains__61f0c8,61f0c8,thetatoen.org,,Phishing,Theta,
Csdb__ScamDomains__79beb0,79beb0,thetatokn.org,,Phishing,Theta,
Csdb__ScamDomains__7f9ab3,7f9ab3,wwwwhitecoin.info,,Phishing,Whitecoin,
Csdb__ScamDomains__1421e2,1421e2,lmiwallet.com,,Phishing,Lumi,
Csdb__ScamDomains__242022,242022,theatoken.org,,Phishing,Theta,
Csdb__ScamDomains__89ed14,89ed14,thetatoke.org,,Phishing,Theta,
Csdb__ScamDomains__b999b8,b999b8,thtatoken.org,,Phishing,Theta,
